9172196,0i???01.5547,1272.7686
289196423,2.3754,3725.5859,8849.8398
289196463,2.2171,3710.9375,8227.3740
289196502,2.3226,3735.3516,8675.8594
289196541,2.5866,3793.9453,9813.3086
289196580,2.5602,3701.1719,9475.6563
289196620,2.4810,3715.8203,9218.9375
289196660,2.4546,3720.7031,9132.8486
289196699,2.5074,3706.0547,9292.5254
289196739,2.5602,3666.9922,9388.1504
289196778,2.4810,3710.9375,9206.8232
289196818,2.4810,3696.2891,9170.4805
289196857,2.3490,3725.5859,8751.5088
289196897,2.4810,3720.7031,9231.0518
289196937,2.4018,3706.0547,8901.2607
289196976,2.4546,3730.4688,9156.8193
289197016,2.4546,3715.8203,9120.8633
289197054,2.3226,3730.4688,8664.5176
289197094,2.4810,3691.4063,9158.3662
289197134,2.3226,3730.4688,8664.5176
289197173,2.4018,3696.2891,8877.8057
289197213,2.3754,3735.3516,8873.0371
289197252,2.3490,3696.2891,8682.6895
289197292,2.3490,3730.4688,8762.9785
289197332,2.2435,3696.2891,8292.4561
289197371,2.3226,3740.2344,8687.2002
289197411,2.4282,3691.4063,8963.5078
289197450,2.5074,3696.2891,9268.0391
289197490,2.5602,3696.2891,9463.1553
289197530,2.6130,3657.2266,9556.2041
289197569,2.5338,3691.4063,9353.2246
289197608,2.6658,3676.7578,9801.3232
289197647,2.2962,3715.8203,8532.4209
289197687,2.2435,3720.7031,8347.2275
289197727,2.1643,3754.8828,8126.5942
289197766,2.2962,3706.0547,8509.9971
289197806,2.2962,3725.5859,8554.8447
289197845,2.1643,3735.3516,8084.3232
289197885,2.2962,3745.1172,8599.6934
289197924,2.2171,3730.4688,8270.6758
289197964,2.2435,3745.1172,8402.0000
289198004,2.3490,3701.1719,8694.1592
289198043,2.2962,3735.3516,8577.2695
289198083,2.5338,3701.1719,9377.9688
289198121,2.4810,3706.0547,9194.7090
289198161,2.6394,3715.8203,9807.3799
289198201,2.5338,3691.4063,9353.2246
289198240,2.6130,3710.9375,9696.5488
289198280,2.5338,3671.8750,9303.7373
289198319,2.5338,3691.4063,9353.2246
