
288383??	r?90,4072.2656,1182.2985
288403951,2.0851,3779.2969,7880.1855
288403991,2.1907,3750.0000,8215.0020
288404031,2.0851,3793.9453,7910.7290
288404070,2.1379,3779.2969,8079.6836
288404110,2.3226,3789.0625,8800.6094
288404149,2.1643,3764.6484,8147.7300
288404189,2.2171,3789.0625,8400.5820
288404228,2.2698,3754.8828,8523.0127
288404268,2.2698,3779.2969,8578.4287
288404307,2.2435,3769.5313,8456.7715
288404346,2.1643,3774.4141,8168.8652
288404386,2.0587,3779.2969,7780.4360
288404425,2.0587,3798.8281,7820.6450
288404465,2.0587,3784.1797,7790.4883
288404505,2.2171,3803.7109,8433.0586
288404544,2.0851,3774.4141,7870.0044
288404584,2.0851,3774.4141,7870.0044
288404623,2.1643,3862.3047,8359.0850
288404663,2.3226,3803.7109,8834.6328
288404703,2.2171,3769.5313,8357.2803
288404742,2.2962,3789.0625,8700.6025
288404782,2.2435,3769.5313,8456.7715
288404820,2.1643,3759.7656,8137.1621
288404860,2.2435,3774.4141,8467.7256
288404900,2.1907,3779.2969,8279.1816
288404939,2.2171,3774.4141,8368.1055
288404979,2.1643,3813.4766,8253.4072
288405018,2.0587,3774.4141,7770.3838
288405058,2.1115,3808.5938,8041.7939
288405098,2.0851,3759.7656,7839.4609
288405137,2.0851,3779.2969,7880.1855
288405177,2.1115,3784.1797,7990.2441
288405216,2.1379,3808.5938,8142.3169
288405256,2.1115,3784.1797,7990.2441
288405296,2.1115,3779.2969,7979.9341
288405335,2.1907,3784.1797,8289.8779
288405374,2.1907,3784.1797,8289.8779
288405413,2.2962,3754.8828,8622.1182
288405453,2.2171,3793.9453,8411.4072
288405492,2.1907,3769.5313,8257.7881
288405532,2.2435,3793.9453,8511.5439
288405572,2.2171,3764.6484,8346.4541
288405611,2.2435,3759.7656,8434.8633
288405651,2.1643,3774.4141,8168.8652
288405690,2.0851,3798.8281,7920.9102
288405730,2.0851,3774.4141,7870.0044
288405770,2.0323,3823.2422,7769.9971
288405809,2.0323,3803.7109,7730.3037
288405849,2.0323,3823.2422,7769.9971
288405888,2.1115,3784.1797,7990.2441
288405927,2.1379,3798.8281,8121.4390
288405967,2.1907,3774.4141,8268.4854
288406006,2.2171,3793.9453,8411.4072
288406046,2.1115,3789.0625,8000.5542
288406085,2.1907,3754.8828,8225.6982
288406125,2.1643,3745.1172,8105.4590
288406165,2.1379,3789.0625,8100.5610
288406204,2.1379,3784.1797,8090.1226
288406244,2.2171,3779.2969,8378.9307
288406283,2.1643,3774.4141,8168.8652
288406323,2.1643,3769.5313,8158.2974
288406363,2.1907,3789.0625,8300.5752
288406402,2.1643,3784.1797,8190.0005
288406441,2.1907,3784.1797,8289.8779
288406480,2.1379,3779.2969,8079.6836
288406520,2.1643,3764.6484,8147.7300
288406560,2.1643,3754.8828,8126.5942
288406599,2.1379,3774.4141,8069.2446
288406639,2.2171,3754.8828,8324.8037
288406678,2.2698,3784.1797,8589.5117
288406718,2.0851,3803.7109,7931.0913
288406757,2.2171,3798.8281,8422.2334
288406797,2.1115,3784.1797,7990.2441
288406837,2.1907,3789.0625,8300.5752
288406876,2.1643,3764.6484,8147.7300
288406916,2.3226,3779.2969,8777.9277
288406955,2.2171,3769.5313,8357.2803
288406994,2.1379,3793.9453,8111.0000
288407034,2.2435,3774.4141,8467.7256
288407073,2.1907,3784.1797,8289.8779
288407113,2.2435,3769.5313,8456.7715
288407152,2.1907,3803.7109,8332.6650
288407192,2.1907,3769.5313,8257.7881
288407232,2.1379,3833.0078,8194.5107
288407271,2.0851,3789.0625,7900.5479
288407311,2.0587,3813.4766,7850.8018
288407350,2.0851,3779.2969,7880.1855
288407390,2.1115,3813.4766,8052.1040
288407430,2.1643,3774.4141,8168.8652
288407469,2.0851,3798.8281,7920.9102
288407508,2.1379,3774.4141,8069.2446
288407547,2.2171,3803.7109,8433.0586
288407587,2.1115,3764.6484,7949.0039
288407627,2.1907,3789.0625,8300.5752
288407666,2.3226,3759.7656,8732.5635
288407706,2.3226,3798.8281,8823.2920
288407745,2.2171,3779.2969,8378.9307
288407785,2.2962,3779.2969,8678.1787
288407825,2.2435,3793.9453,8511.5439
288407864,2.1115,3789.0625,8000.5542
288407904,2.1643,3764.6484,8147.7300
288407943,2.1379,3813.4766,8152.7554
288407983,2.1115,3779.2969,7979.9341
288408022,2.2435,3798.8281,8522.4980
288408061,2.2171,3754.8828,8324.8037
288408101,2.2435,3789.0625,8500.5889
288408140,2.3226,3769.5313,8755.2461
288408180,2.2435,3789.0625,8500.5889
288408219,2.1379,3764.6484,8048.3667
288408259,2.1115,3789.0625,8000.5542
288408299,2.0587,3803.7109,7830.6973
288408338,2.0323,3828.1250,7779.9204
288408378,2.0587,3774.4141,7770.3838
288408417,1.9531,3808.5938,7438.6597
288408457,2.0851,3793.9453,7910.7290
288408497,2.2435,3793.9453,8511.5439
288408536,2.1907,3764.6484,8247.0918
288408576,2.1115,3789.0625,8000.5542
288408614,2.1643,3798.8281,8221.7041
288408654,2.2698,3793.9453,8611.6787
288408694,2.1643,3769.5313,8158.2974
288408733,2.1643,3803.7109,8232.2715
288408773,2.2171,3769.5313,8357.2803
288408812,2.2698,3813.4766,8656.0117
288408852,2.2435,3759.7656,8434.8633
288408892,2.2962,3774.4141,8666.9658
288408931,2.1907,3774.4141,8268.4854
288408971,2.1643,3798.8281,8221.7041
288409010,2.0587,3725.5859,7669.8613
288409050,2.0323,3808.5938,7740.2271
288409090,2.0587,3808.5938,7840.7495
288409128,2.1115,3813.4766,8052.1040
288409168,2.1379,3779.2969,8079.6836
288409207,2.1643,3779.2969,8179.4331
