39,4?????4,069.6617
346711926,2.1907,3759.7656,8236.3955
346711966,2.2698,3750.0000,8511.9297
346712005,2.2962,3735.3516,8577.2695
346712045,2.2698,3735.3516,8478.6797
346712084,2.2962,3730.4688,8566.0576
346712124,2.2962,3740.2344,8588.4814
346712164,2.4282,3730.4688,9058.3594
346712203,2.2171,3759.7656,8335.6289
346712243,2.2962,3745.1172,8599.6934
346712282,2.2171,3759.7656,8335.6289
346712322,2.2698,3715.8203,8434.3467
346712361,2.3226,3759.7656,8732.5635
346712400,2.1643,3735.3516,8084.3232
346712440,2.2435,3764.6484,8445.8174
346712479,2.1379,3774.4141,8069.2446
346712519,2.2435,3759.7656,8434.8633
346712559,2.2698,3754.8828,8523.0127
346712598,2.2435,3725.5859,8358.1826
346712638,2.2171,3759.7656,8335.6289
346712677,2.1643,3730.4688,8073.7554
346712717,2.2435,3642.5781,8171.9580
346712757,2.3754,3720.7031,8838.2412
346712796,2.4018,3754.8828,9018.5371
346712836,2.4546,3691.4063,9060.9365
346712875,2.2962,3759.7656,8633.3301
346712914,2.2435,3725.5859,8358.1826
346712954,2.2435,3720.7031,8347.2275
346712993,2.2435,3730.4688,8369.1367
346713033,2.3226,3750.0000,8709.8818
346713072,2.3754,3715.8203,8826.6426
346713112,2.2698,3759.7656,8534.0957
346713151,2.1115,3745.1172,7907.7642
346713191,2.1379,3745.1172,8006.6113
346713231,2.2698,3750.0000,8511.9297
346713270,2.4018,3720.7031,8936.4443
346713310,2.3490,3720.7031,8740.0391
346713349,2.2962,3720.7031,8543.6328
346713389,2.2962,3750.0000,8610.9053
346713428,2.1379,3720.7031,7954.4170
346713467,2.1643,3701.1719,8010.3491
346713507,2.1907,3725.5859,8161.5186
346713546,2.2435,3759.7656,8434.8633
346713586,2.2698,3730.4688,8467.5967
346713626,2.2962,3754.8828,8622.1182
346713665,2.1907,3740.2344,8193.6084
346713705,2.2171,3774.4141,8368.1055
346713744,2.1907,3623.0469,7936.8896
346713784,2.2435,3740.2344,8391.0459
346713824,2.3490,3735.3516,8774.4482
346713863,2.2435,3730.4688,8369.1367
346713903,2.2962,3745.1172,8599.6934
346713942,2.2435,3720.7031,8347.2275
346713981,2.3490,3735.3516,8774.4482
346714021,2.3754,3720.7031,8838.2412
