394.3359,2103.367228.5156,1674.0850
37902314,2.5866,3803.7109,9838.5684
37902353,2.5338,3798.8281,9625.4082
37902391,2.5074,3852.5391,9659.8193
37902430,2.6658,3847.6563,10256.8960
37902470,2.5866,3808.5938,9851.1982
37902508,2.4810,3813.4766,9461.2227
37902546,2.4282,3872.0703,9402.1982
37902584,2.5338,3833.0078,9712.0127
37902623,2.6394,3823.2422,10090.9050
37902662,2.5866,3852.5391,9964.8662
37902701,2.6130,3823.2422,9989.9971
37902740,2.7977,3793.9453,10614.3950
37902779,2.7977,3720.7031,10409.4830
37902819,2.7713,3803.7109,10541.3230
37902858,2.6394,3833.0078,10116.6800
37902898,2.5338,3813.4766,9662.5244
37902937,2.5866,3823.2422,9889.0869
37902974,2.5074,3842.7734,9635.3330
37903013,2.3754,3857.4219,9163.0059
37903051,2.4546,3823.2422,9384.5420
37903090,2.5866,3833.0078,9914.3467
37903128,2.5866,3818.3594,9876.4580
37903167,2.5338,3823.2422,9687.2686
37903206,2.5602,3823.2422,9788.1777
37903244,2.6394,3808.5938,10052.2420
37903284,2.6921,3852.5391,10371.5950
37903323,2.5602,3837.8906,9825.6807
37903362,2.6658,3808.5938,10152.7660
37903401,2.5338,3842.7734,9736.7568
37903439,2.6130,3833.0078,10015.5140
37903479,2.6921,3803.7109,10240.1430
37903518,2.6130,3798.8281,9926.2031
37903557,2.6658,3833.0078,10217.8470
37903596,2.7449,3823.2422,10494.5410
37903636,2.7185,3803.7109,10340.5350
37903676,2.5866,3808.5938,9851.1982
37903714,2.4018,3862.3047,9276.5449
37903753,2.4282,3852.5391,9354.7725
37903791,2.4546,3818.3594,9372.5566
37903830,2.6130,3808.5938,9951.7207
37903868,2.5602,3808.5938,9750.6758
37903906,2.4810,3876.9531,9618.7080
37903945,2.6130,3833.0078,10015.5140
37903984,2.5866,3813.4766,9863.8281
37904023,2.5866,3847.6563,9952.2363
37904061,2.5602,3828.1250,9800.6787
37904100,2.5866,3837.8906,9926.9766
37904139,2.5866,3808.5938,9851.1982
37904177,2.6394,3793.9453,10013.5800
37904217,2.6921,3813.4766,10266.4340
37904256,2.5602,3808.5938,9750.6758
37904294,2.5338,3818.3594,9674.8965
37904333,2.6394,3828.1250,10103.7930
37904372,2.5338,3901.3672,9885.2207
37904411,2.5074,3715.8203,9317.0117
37904449,2.5602,3784.1797,9688.1709
37904488,2.5338,3789.0625,9600.6650
37904526,2.5602,3789.0625,9700.6719
37904565,2.5074,3867.1875,9696.5479
37904604,2.4546,3803.7109,9336.6006
37904642,2.4810,3813.4766,9461.2227
37904680,2.5602,3867.1875,9900.6855
37904718,2.5866,3857.4219,9977.4951
37904757,2.6658,3813.4766,10165.7810
37904797,2.5866,3847.6563,9952.2363
37904835,2.4810,3847.6563,9546.0225
37904874,2.4810,3842.7734,9533.9082
37904912,2.5074,3818.3594,9574.1172
37904951,2.4282,3876.9531,9414.0547
37904989,2.4810,3847.6563,9546.0225
37905028,2.6394,3828.1250,10103.7930
37905068,2.7713,3798.8281,10527.7910
37905106,2.5866,3808.5938,9851.1982
37905145,2.7185,3818.3594,10380.3580
37905184,2.7185,3813.4766,10367.0840
37905224,2.7713,3808.5938,10554.8550
37905264,2.6130,3842.7734,10041.0310
