.1584,40?&???,67.1575
101327886,2.1907,3759.7656,8236.3955
101327926,2.3226,3769.5313,8755.2461
101327965,2.3490,3735.3516,8774.4482
101328005,2.2435,3735.3516,8380.0908
101328045,2.2435,3750.0000,8412.9541
101328083,2.3226,3750.0000,8709.8818
101328123,2.1907,3730.4688,8172.2153
101328162,2.2171,3725.5859,8259.8506
101328202,2.2435,3754.8828,8423.9082
101328241,2.2435,3774.4141,8467.7256
101328281,2.1907,3750.0000,8215.0020
101328321,2.1379,3750.0000,8017.0503
101328360,2.1379,3764.6484,8048.3667
101328400,2.2171,3779.2969,8378.9307
101328439,2.1379,3769.5313,8058.8057
101328479,2.3226,3735.3516,8675.8594
101328519,2.1907,3745.1172,8204.3057
101328558,2.2435,3774.4141,8467.7256
101328598,2.2962,3774.4141,8666.9658
101328636,2.3226,3725.5859,8653.1768
101328676,2.3226,3730.4688,8664.5176
101328716,2.3226,3750.0000,8709.8818
101328755,2.3754,3764.6484,8942.6299
101328795,2.3226,3740.2344,8687.2002
101328834,2.2698,3725.5859,8456.5137
101328874,2.0851,3750.0000,7819.0986
101328914,2.1379,3784.1797,8090.1226
101328953,2.0587,3784.1797,7790.4883
101328993,2.1115,3745.1172,7907.7642
101329032,2.1379,3774.4141,8069.2446
101329072,2.1907,3769.5313,8257.7881
101329112,2.2435,3774.4141,8467.7256
101329150,2.3490,3720.7031,8740.0391
101329190,2.2962,3735.3516,8577.2695
101329229,2.4018,3750.0000,9006.8096
101329269,2.4018,3754.8828,9018.5371
101329309,2.3754,3740.2344,8884.6357
101329348,2.4546,3730.4688,9156.8193
101329388,2.2171,3750.0000,8313.9775
101329427,2.2171,3769.5313,8357.2803
101329467,2.1379,3779.2969,8079.6836
101329506,2.2171,3745.1172,8303.1523
101329546,2.1907,3735.3516,8182.9121
101329586,2.1907,3759.7656,8236.3955
101329625,2.1643,3774.4141,8168.8652
101329665,2.3226,3745.1172,8698.5410
101329703,2.1907,3735.3516,8182.9121
101329743,2.2435,3754.8828,8423.9082
101329783,2.2435,3769.5313,8456.7715
101329822,2.2698,3745.1172,8500.8467
101329862,2.2171,3725.5859,8259.8506
101329901,2.2962,3750.0000,8610.9053
101329941,2.3490,3769.5313,8854.7373
101329981,2.2171,3745.1172,8303.1523
101330020,2.2171,3725.5859,8259.8506
101330060,2.1907,3759.7656,8236.3955
101330099,2.2435,3779.2969,8478.6807
101330139,2.2962,3740.2344,8588.4814
101330179,2.3490,3730.4688,8762.9785
101330217,2.2435,3745.1172,8402.0000
101330257,2.3226,3774.4141,8766.5869
101330296,2.1115,3774.4141,7969.6240
101330336,2.1907,3740.2344,8193.6084
101330376,2.1379,3759.7656,8037.9282
101330415,2.0851,3774.4141,7870.0044
101330455,2.1379,3789.0625,8100.5610
101330494,2.1907,3740.2344,8193.6084
101330534,2.2698,3740.2344,8489.7627
101330574,2.4018,3750.0000,9006.8096
101330613,2.4546,3740.2344,9180.7900
101330653,2.4810,3735.3516,9267.3945
101330692,2.3490,3710.9375,8717.0996
101330732,2.3226,3740.2344,8687.2002
101330770,2.3226,3750.0000,8709.8818
101330810,2.1907,3779.2969,8279.1816
101330850,2.0851,3754.8828,7829.2798
101330889,2.1115,3769.5313,7959.3140
101330929,2.0851,3784.1797,7890.3667
101330968,2.1115,3789.0625,8000.5542
101331008,2.0587,3745.1172,7710.0703
101331048,2.1379,3750.0000,8017.0503
101331087,2.1643,3774.4141,8168.8652
101331127,2.1643,3779.2969,8179.4331
101331166,2.2962,3730.4688,8566.0576
101331206,2.2171,3730.4688,8270.6758
101331246,2.3226,3745.1172,8698.5410
101331284,2.3754,3745.1172,8896.2344
101331324,2.3754,3735.3516,8873.0371
101331363,2.4018,3715.8203,8924.7158
101331403,2.4018,3730.4688,8959.8994
101331443,2.3490,3754.8828,8820.3281
101331482,2.3226,3754.8828,8721.2227
101331522,2.2435,3740.2344,8391.0459
101331561,2.1907,3745.1172,8204.3057
101331601,2.1643,3774.4141,8168.8652
101331641,2.1115,3779.2969,7979.9341
101331680,2.0323,3769.5313,7660.8398
101331720,2.1907,3759.7656,8236.3955
101331759,2.1379,3779.2969,8079.6836
101331799,2.0587,3789.0625,7800.5405
101331838,2.1907,3750.0000,8215.0020
101331877,2.2698,3740.2344,8489.7627
101331917,2.2962,3750.0000,8610.9053
101331956,2.4018,3750.0000,9006.8096
101331996,2.5866,3720.7031,9623.8623
101332035,2.5866,3676.7578,9510.1953
101332075,2.4282,3715.8203,9022.7900
101332115,2.2962,3730.4688,8566.0576
101332154,2.2962,3759.7656,8633.3301
101332194,2.2962,3769.5313,8655.7539
101332233,2.1907,3745.1172,8204.3057
101332273,2.1643,3764.6484,8147.7300
101332313,2.1115,3793.9453,8010.8643
101332352,2.1379,3769.5313,8058.8057
101332391,2.1643,3740.2344,8094.8911
101332430,2.3226,3750.0000,8709.8818
101332470,2.2435,3769.5313,8456.7715
101332510,2.3226,3740.2344,8687.2002
101332549,2.1907,3735.3516,8182.9121
101332589,2.2435,3740.2344,8391.0459
101332628,2.2435,3764.6484,8445.8174
101332668,2.2435,3764.6484,8445.8174
