4.6797,1513.764696.6797,1730.0167
36505287,2.5338,3798.8281,9625.4082
36505326,2.5602,3793.9453,9713.1729
36505364,2.5074,3789.0625,9500.6582
36505403,2.4546,3813.4766,9360.5713
36505442,2.5866,3779.2969,9775.4199
36505480,2.7449,3798.8281,10427.5260
36505520,2.7449,3793.9453,10414.1230
36505559,2.6130,3803.7109,9938.9619
36505597,2.6921,3847.6563,10358.4500
36505636,2.6130,3774.4141,9862.4102
36505675,2.6658,3779.2969,10074.6670
36505715,2.5338,3803.7109,9637.7803
36505753,2.4810,3828.1250,9497.5654
36505792,2.6130,3818.3594,9977.2383
36505830,2.5866,3813.4766,9863.8281
36505869,2.6921,3813.4766,10266.4340
36505909,2.5866,3691.4063,9548.0840
36505947,2.7977,3666.9922,10259.2160
36505987,2.6921,3784.1797,10187.5620
36506025,2.9297,3769.5313,11043.5490
36506065,2.8769,3784.1797,10886.7080
36506105,2.7713,3798.8281,10527.7910
36506144,2.6658,3784.1797,10087.6840
36506184,2.6130,3769.5313,9849.6514
36506222,2.4546,3823.2422,9384.5420
36506261,2.3226,3813.4766,8857.3145
36506299,2.4810,3823.2422,9485.4512
36506338,2.5338,3813.4766,9662.5244
36506377,2.5866,3813.4766,9863.8281
36506415,2.6394,3823.2422,10090.9050
36506455,2.5338,3813.4766,9662.5244
36506492,2.5866,3803.7109,9838.5684
36506531,2.5602,3793.9453,9713.1729
36506569,2.5866,3779.2969,9775.4199
36506608,2.4810,3813.4766,9461.2227
36506647,2.5866,3793.9453,9813.3086
36506685,2.5602,3779.2969,9675.6699
36506724,2.6394,3779.2969,9974.9180
36506762,2.6130,3808.5938,9951.7207
36506801,2.6394,3798.8281,10026.4680
36506841,2.6658,3803.7109,10139.7490
36506880,2.5338,3833.0078,9712.0127
36506918,2.5338,3818.3594,9674.8965
36506956,2.5338,3793.9453,9613.0371
36506995,2.5602,3798.8281,9725.6738
36507033,2.5602,3823.2422,9788.1777
36507072,2.5074,3798.8281,9525.1445
36507111,2.5074,3813.4766,9561.8740
36507149,2.5338,3803.7109,9637.7803
36507188,2.5338,3808.5938,9650.1523
36507226,2.4546,3803.7109,9336.6006
36507265,2.4282,3813.4766,9259.9199
36507303,2.5602,3798.8281,9725.6738
36507341,2.7977,3803.7109,10641.7160
36507381,2.6130,3813.4766,9964.4795
36507419,2.5602,3803.7109,9738.1748
36507458,2.5074,3808.5938,9549.6309
36507496,2.6921,3803.7109,10240.1430
36507536,2.5602,3867.1875,9900.6855
36507575,2.4546,3808.5938,9348.5859
36507613,2.5866,3759.7656,9724.9004
36507652,2.5602,3779.2969,9675.6699
