944,r???b???r??47,1166.7046
261172738,2.1115,3759.7656,7938.6943
261172777,2.1643,3735.3516,8084.3232
261172816,2.2171,3740.2344,8292.3271
261172856,2.1379,3769.5313,8058.8057
261172895,2.1907,3750.0000,8215.0020
261172935,2.1643,3759.7656,8137.1621
261172975,2.2171,3740.2344,8292.3271
261173014,2.1907,3750.0000,8215.0020
261173054,2.2171,3750.0000,8313.9775
261173093,2.1907,3710.9375,8129.4287
261173133,2.2698,3745.1172,8500.8467
261173173,2.2435,3730.4688,8369.1367
261173212,2.1907,3769.5313,8257.7881
261173252,2.2171,3735.3516,8281.5020
261173291,2.2435,3750.0000,8412.9541
261173330,2.1643,3725.5859,8063.1880
261173370,2.2698,3725.5859,8456.5137
261173409,2.2171,3754.8828,8324.8037
261173449,2.2962,3710.9375,8521.2090
261173488,2.2435,3750.0000,8412.9541
261173528,2.1907,3725.5859,8161.5186
261173567,2.1907,3764.6484,8247.0918
261173607,2.1643,3740.2344,8094.8911
261173647,2.1643,3730.4688,8073.7554
261173686,2.2171,3735.3516,8281.5020
261173726,2.1907,3706.0547,8118.7324
261173765,2.3490,3735.3516,8774.4482
261173805,2.1907,3715.8203,8140.1255
261173844,2.0851,3754.8828,7829.2798
261173883,2.2698,3730.4688,8467.5967
261173923,2.0851,3750.0000,7819.0986
261173962,2.0851,3759.7656,7839.4609
261174002,2.0851,3745.1172,7808.9175
261174042,2.1379,3750.0000,8017.0503
261174081,2.0587,3745.1172,7710.0703
261174121,2.1379,3754.8828,8027.4893
261174160,2.1643,3740.2344,8094.8911
261174200,2.2435,3745.1172,8402.0000
261174240,2.1907,3745.1172,8204.3057
261174279,2.1907,3725.5859,8161.5186
261174319,2.1643,3754.8828,8126.5942
261174358,2.1643,3730.4688,8073.7554
261174397,2.2435,3754.8828,8423.9082
261174437,2.2962,3725.5859,8554.8447
261174476,2.3226,3754.8828,8721.2227
261174516,2.2962,3730.4688,8566.0576
261174555,2.2962,3769.5313,8655.7539
261174595,2.1115,3750.0000,7918.0742
261174635,2.1643,3750.0000,8116.0264
261174674,2.0587,3754.8828,7730.1748
261174714,2.0851,3715.8203,7747.8311
261174753,2.1115,3774.4141,7969.6240
261174793,2.2435,3725.5859,8358.1826
261174832,2.1643,3754.8828,8126.5942
261174872,2.2698,3740.2344,8489.7627
261174912,2.1643,3730.4688,8073.7554
261174950,2.1115,3754.8828,7928.3843
261174990,2.1907,3725.5859,8161.5186
261175029,2.2962,3759.7656,8633.3301
261175069,2.1643,3720.7031,8052.6201
261175109,2.1643,3745.1172,8105.4590
261175148,2.2435,3750.0000,8412.9541
