8,4038.??9,76.569
357213946,2.4810,3710.9375,9206.8232
357213985,2.1907,3710.9375,8129.4287
357214025,2.2435,3754.8828,8423.9082
357214065,2.2698,3710.9375,8423.2637
357214104,2.2962,3730.4688,8566.0576
357214144,2.1907,3779.2969,8279.1816
357214183,2.4018,3740.2344,8983.3545
357214223,2.2962,3715.8203,8532.4209
357214263,2.4018,3740.2344,8983.3545
357214302,2.4018,3715.8203,8924.7158
357214342,2.2962,3750.0000,8610.9053
357214381,2.1115,3774.4141,7969.6240
357214420,2.0851,3740.2344,7798.7368
357214460,2.3226,3715.8203,8630.4951
357214499,2.2698,3706.0547,8412.1807
357214539,2.1379,3750.0000,8017.0503
357214578,2.1115,3735.3516,7887.1440
357214618,2.1907,3750.0000,8215.0020
357214658,2.2435,3754.8828,8423.9082
357214697,2.0851,3750.0000,7819.0986
357214737,2.1907,3808.5938,8343.3613
357214776,2.2698,3740.2344,8489.7627
357214816,2.3226,3730.4688,8664.5176
357214855,2.1643,3789.0625,8200.5684
357214895,2.3754,3730.4688,8861.4385
357214935,2.4810,3735.3516,9267.3945
357214973,2.1643,3774.4141,8168.8652
357215013,2.1379,3759.7656,8037.9282
357215052,2.2962,3710.9375,8521.2090
357215092,2.4282,3730.4688,9058.3594
357215132,2.3226,3725.5859,8653.1768
