12164b?I??1,411.3281,868.1014
288144880,2.2435,3789.0625,8500.5889
288144920,2.1907,3813.4766,8354.0576
288144959,2.2171,3784.1797,8389.7568
288144999,2.1115,3828.1250,8083.0342
288145038,2.1379,3798.8281,8121.4390
288145078,2.2962,3828.1250,8790.2998
288145118,2.1115,3803.7109,8031.4839
288145157,2.1379,3813.4766,8152.7554
288145197,2.1379,3833.0078,8194.5107
288145235,2.0587,3813.4766,7850.8018
288145275,2.2698,3823.2422,8678.1777
288145315,2.2698,3803.7109,8633.8447
288145354,2.2171,3813.4766,8454.7090
288145394,2.1379,3789.0625,8100.5610
288145433,2.1907,3803.7109,8332.6650
288145473,2.1643,3779.2969,8179.4331
288145513,2.1907,3798.8281,8321.9678
288145552,2.1643,3808.5938,8242.8398
288145592,2.1379,3798.8281,8121.4390
288145631,2.0851,3818.3594,7961.6343
288145671,2.1379,3803.7109,8131.8779
288145711,2.0323,3808.5938,7740.2271
288145750,2.0851,3808.5938,7941.2725
288145789,2.0851,3828.1250,7981.9966
288145828,2.1115,3793.9453,8010.8643
288145868,2.2171,3803.7109,8433.0586
288145907,2.1379,3808.5938,8142.3169
288145947,2.1643,3789.0625,8200.5684
288145987,2.1115,3818.3594,8062.4141
288146026,2.2171,3793.9453,8411.4072
288146066,2.2698,3823.2422,8678.1777
288146105,2.1907,3818.3594,8364.7549
288146145,2.1379,3823.2422,8173.6333
288146185,2.1907,3803.7109,8332.6650
288146224,2.1115,3803.7109,8031.4839
288146264,2.1907,3798.8281,8321.9678
288146302,2.1907,3793.9453,8311.2715
288146342,2.2171,3833.0078,8498.0117
288146382,2.2435,3779.2969,8478.6807
288146421,2.2962,3793.9453,8711.8145
288146461,2.3754,3779.2969,8977.4258
288146500,2.2435,3779.2969,8478.6807
288146540,2.2435,3803.7109,8533.4521
288146580,2.1643,3803.7109,8232.2715
288146619,2.1115,3823.2422,8072.7241
288146659,2.1907,3798.8281,8321.9678
288146698,2.1379,3837.8906,8204.9502
288146738,2.0587,3798.8281,7820.6450
288146778,2.0059,3833.0078,7688.6768
288146817,2.1379,3808.5938,8142.3169
288146856,2.0323,3823.2422,7769.9971
288146895,2.1643,3828.1250,8285.1104
288146935,2.0323,3813.4766,7750.1504
288146975,2.1907,3803.7109,8332.6650
