8108??	r??5,4033.2031,958.0560
81109317,2.2962,3784.1797,8689.3906
81109355,2.2962,3764.6484,8644.5420
81109394,2.2698,3774.4141,8567.3457
81109432,2.2698,3769.5313,8556.2627
81109471,2.4282,3764.6484,9141.3555
81109509,2.2962,3754.8828,8622.1182
81109548,2.2962,3754.8828,8622.1182
81109586,2.3754,3769.5313,8954.2285
81109624,2.3490,3759.7656,8831.7979
81109663,2.2962,3769.5313,8655.7539
81109701,2.2435,3764.6484,8445.8174
81109740,2.2698,3774.4141,8567.3457
81109779,2.2962,3769.5313,8655.7539
81109817,2.2435,3779.2969,8478.6807
81109856,2.1907,3769.5313,8257.7881
81109894,2.3226,3779.2969,8777.9277
81109933,2.2171,3759.7656,8335.6289
81109970,2.2962,3784.1797,8689.3906
81110009,2.3226,3750.0000,8709.8818
81110048,2.2698,3779.2969,8578.4287
81110086,2.4018,3759.7656,9030.2646
81110125,2.2962,3779.2969,8678.1787
81110163,2.2698,3759.7656,8534.0957
81110202,2.2435,3779.2969,8478.6807
81110240,2.3754,3754.8828,8919.4326
81110279,2.2698,3784.1797,8589.5117
81110318,2.3490,3750.0000,8808.8584
81110355,2.4018,3769.5313,9053.7197
81110394,2.4282,3745.1172,9093.9297
81110432,2.3490,3769.5313,8854.7373
81110471,2.2435,3750.0000,8412.9541
81110510,2.2435,3779.2969,8478.6807
81110548,2.2698,3759.7656,8534.0957
81110587,2.2962,3789.0625,8700.6025
81110625,2.2435,3754.8828,8423.9082
81110664,2.1643,3789.0625,8200.5684
81110702,2.2435,3769.5313,8456.7715
81110740,2.1379,3779.2969,8079.6836
81110779,2.2698,3759.7656,8534.0957
81110817,2.2698,3774.4141,8567.3457
81110856,2.2435,3754.8828,8423.9082
81110894,2.2698,3784.1797,8589.5117
81110933,2.2698,3740.2344,8489.7627
81110971,2.2171,3789.0625,8400.5820
81111010,2.2698,3759.7656,8534.0957
81111049,2.4018,3779.2969,9077.1748
81111087,2.2698,3740.2344,8489.7627
81111126,2.2435,3769.5313,8456.7715
81111163,2.3754,3745.1172,8896.2344
81111202,2.2962,3779.2969,8678.1787
81111240,2.2698,3750.0000,8511.9297
81111279,2.2962,3784.1797,8689.3906
81111318,2.2171,3745.1172,8303.1523
81111356,2.2435,3793.9453,8511.5439
81111395,2.2171,3759.7656,8335.6289
81111433,2.2698,3750.0000,8511.9297
81111472,2.2698,3774.4141,8567.3457
81111511,2.4018,3779.2969,9077.1748
81111548,2.2171,3759.7656,8335.6289
81111587,2.2962,3798.8281,8723.0273
81111625,2.1907,3779.2969,8279.1816
81111664,2.2698,3789.0625,8600.5957
81111702,2.2171,3774.4141,8368.1055
81111741,2.1907,3789.0625,8300.5752
81111780,2.2962,3769.5313,8655.7539
81111818,2.3490,3769.5313,8854.7373
81111857,2.3754,3774.4141,8965.8271
81111895,2.2435,3764.6484,8445.8174
81111933,2.2698,3779.2969,8578.4287
81111971,2.2962,3769.5313,8655.7539
81112010,2.1907,3784.1797,8289.8779
81112049,2.2171,3774.4141,8368.1055
81112087,2.2171,3789.0625,8400.5820
81112126,2.2171,3769.5313,8357.2803
81112164,2.2171,3779.2969,8378.9307
81112203,2.2435,3754.8828,8423.9082
81112242,2.2698,3793.9453,8611.6787
81112280,2.2435,3754.8828,8423.9082
81112318,2.2435,3779.2969,8478.6807
81112356,2.1643,3740.2344,8094.8911
81112395,2.2171,3784.1797,8389.7568
81112433,2.2171,3745.1172,8303.1523
81112472,2.2435,3784.1797,8489.6348
81112511,2.2962,3740.2344,8588.4814
81112549,2.3226,3793.9453,8811.9512
81112588,2.2698,3759.7656,8534.0957
81112626,2.3226,3779.2969,8777.9277
81112665,2.3226,3764.6484,8743.9053
81112702,2.2698,3769.5313,8556.2627
81112741,2.2698,3769.5313,8556.2627
81112780,2.2171,3769.5313,8357.2803
81112818,2.3490,3759.7656,8831.7979
81112857,2.3754,3764.6484,8942.6299
81112895,2.2962,3764.6484,8644.5420
81112934,2.2962,3764.6484,8644.5420
81112973,2.2698,3774.4141,8567.3457
81113011,2.1379,3779.2969,8079.6836
81113050,2.1643,3789.0625,8200.5684
81113088,2.2698,3774.4141,8567.3457
81113126,2.1643,3779.2969,8179.4331
81113164,2.0851,3759.7656,7839.4609
81113203,2.2698,3789.0625,8600.5957
81113242,2.2435,3730.4688,8369.1367
81113280,2.2171,3784.1797,8389.7568
81113319,2.2171,3759.7656,8335.6289
81113357,2.2171,3779.2969,8378.9307
81113396,2.2698,3745.1172,8500.8467
81113434,2.3226,3779.2969,8777.9277
81113473,2.3490,3740.2344,8785.9180
81113511,2.2698,3784.1797,8589.5117
81113549,2.3754,3750.0000,8907.8330
81113588,2.4018,3789.0625,9100.6309
81113626,2.2962,3754.8828,8622.1182
81113665,2.1643,3793.9453,8211.1357
81113703,2.1643,3784.1797,8190.0005
81113742,2.1907,3798.8281,8321.9678
81113781,2.1115,3779.2969,7979.9341
